time,overall,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,one_reliability
4/6/2020 0:20,4.8,7,5,4,3,9,0,16,0.706512058
4/6/2020 0:25,3.8,4,3,7,4,3,0,3,0.41119464
4/6/2020 0:25,0.9,1,5,4,1,8,0,6,0.710697522
4/6/2020 0:25,7.6,1.5,7,5.5,0,3,0,8,0.575076133
4/6/2020 0:25,4.7,7.5,2,2.5,0,3,0,15,0.618182399
4/6/2020 0:25,5,2,0,7,0,9,0,17,0.604042758
4/6/2020 0:30,3.8,10,3,6,0,3,0,4,0.711754424
4/6/2020 0:30,5.7,2,4,4,0,3,0,18,0.649457428
4/6/2020 0:30,5.3,9,10,6,0,0,1,19,0.579992269
4/6/2020 0:35,3.4,2,10,3,5,5,0,1,0.659955713
4/6/2020 0:35,2.6,4.5,6.5,4.5,0,6,0.5,2,0.625431868
4/6/2020 0:35,0.2,7.5,4.5,8.5,6,2.5,0,3,0.41119464
4/6/2020 0:35,4.4,8,9,1,6,7,0,9,0.667127253
4/6/2020 0:35,3.8,2,0,3,0,4,0,17,0.6026605
4/6/2020 0:40,4.8,6,6,1.5,0,2.5,0.5,2,0.625431868
4/6/2020 0:40,2.8,10,2,5,6,3,0,3,0.41119464
4/6/2020 0:40,3.2,2.5,4.5,5.5,4,7,0,5,0.744736816
4/6/2020 0:40,5.2,10,5,2.5,5,7,0,6,0.710449834
4/6/2020 0:40,1.5,4,5,7,0,3,1,19,0.579992269
4/6/2020 0:45,5.9,9.5,7,1.5,0,6.5,0,2,0.623156758
4/6/2020 0:45,2.2,10,4,8,1,0,0,6,0.707905143
4/6/2020 0:45,7.7,0,7,6,0,0,0,8,0.572663315
4/6/2020 0:45,6.8,4,4,8,2,5,0,9,0.667071458
4/6/2020 0:50,4.6,8,10,10,0,0,0,2,0.623156758
4/6/2020 0:50,0.1,0,4,3,10,3,0,3,0.405201082
4/6/2020 0:50,4,9,1,2,5,1,0,5,0.748025134
4/6/2020 0:50,7.3,7,0,9,3,9,0,9,0.668121507
4/6/2020 0:50,5.6,3,2.5,5,0,6,0,14,0.630384985
4/6/2020 0:50,4.8,9,7,1,0,9,0,15,0.626566343
4/6/2020 0:50,4.6,9,0,9,0,9,1,19,0.574236322
4/6/2020 0:55,6.1,8,4,7,0,6,0,2,0.623156758
4/6/2020 0:55,2.7,9,0,1,0,5,0,4,0.712666027
4/6/2020 0:55,5.6,7,5,5,7,3,1,6,0.704912774
4/6/2020 0:55,1.8,7,8,4,0,1,0,14,0.628747544
4/6/2020 0:55,4.4,10,5,7.5,0,3.5,0,15,0.626566343
4/6/2020 0:55,5.5,6,2,2,0,1,0,19,0.57200232
4/6/2020 1:00,0.5,0,3,5,2,7,0,3,0.404638101
4/6/2020 1:00,4.9,5.5,8,7,3.5,6,0,6,0.705896417
4/6/2020 1:00,3.2,8.5,7,4,4.5,4,0,9,0.668121507
4/6/2020 1:00,3.1,10,10,10,0,10,0,12,0.623763438
4/6/2020 1:00,4.8,9,6,5,0,3.5,0,14,0.628747544
4/6/2020 1:00,8,10,3,5,0,0,0,15,0.62772597
4/6/2020 1:05,4.8,6.5,4.5,2,0,8,0.5,2,0.62131556
4/6/2020 1:05,4.3,7,2,3,6,10,0,6,0.705896417
4/6/2020 1:05,4.2,7,9,10,0,1,0,9,0.667436955
4/6/2020 1:05,2.9,5,10,7,10,5,0,11,0.789831207
4/6/2020 1:05,4.2,0,10,4,0,9,0,12,0.622550652
4/6/2020 1:05,4.5,0,5,0,0,2,0,15,0.62951195
4/6/2020 1:10,0,0.5,5.5,5,5,5.5,0,3,0.410610719
4/6/2020 1:10,7,7,5,5,7,4.5,0,6,0.704331007
4/6/2020 1:10,4.4,10,6,7,0,10,0,8,0.569451717
4/6/2020 1:10,3.4,1,6,4,10,6,0,9,0.667436955
4/6/2020 1:10,3.9,7,3,9,0,8,0,13,0.603822893
4/6/2020 1:10,2.2,10,4,5,8,7,0,16,0.701195617
4/6/2020 1:15,4.4,10,2,10,0,8,0,2,0.619979753
4/6/2020 1:15,0.8,6,10,3,2,4,0,3,0.410610719
4/6/2020 1:15,4.1,5,6,4,6,2,0,6,0.704331007
4/6/2020 1:15,5.4,7,2.5,3.5,0,5.5,0,8,0.569522586
4/6/2020 1:15,4.9,8,9,1,3,1,0,9,0.667436955
4/6/2020 1:15,2,5,8.5,7,0,5.5,0,13,0.603822893
4/6/2020 1:15,3.6,4,10,5,0,10,0,14,0.625560515
4/6/2020 1:15,6.4,1,5,9,0,10,0,18,0.635624097
4/6/2020 1:20,8,10,7,6,7,3,0,1,0.657284427
4/6/2020 1:20,5.8,10,3,0,0,3,0,2,0.619979753
4/6/2020 1:20,0.5,6,4,8,9,10,0,3,0.407387168
4/6/2020 1:20,6.5,0,7,2,2,4,0,9,0.667436955
4/6/2020 1:20,1.5,10,0,7,6,6,0,11,0.784538284
4/6/2020 1:20,6.1,4,9,10,0,6,1,15,0.628917568
4/6/2020 1:25,6.4,5,0,6,3,6,1,1,0.657284427
4/6/2020 1:25,4.9,6,2,7,3,8,0,9,0.667436955
4/6/2020 1:25,4.1,10,5,2,0,4,0,12,0.622550652
4/6/2020 1:25,6,4.5,7.5,6,0,2.5,0,14,0.626437527
4/6/2020 1:25,6.2,4,10,10,0,10,0,18,0.635624097
4/6/2020 1:30,1.2,5,10,7,6,5,0,3,0.406715417
4/6/2020 1:30,6.9,2,1,2,8,7,0,6,0.703426031
4/6/2020 1:30,5.1,10,4,2,6,7,0,11,0.779589838
4/6/2020 1:30,3.9,8,7,1,0,2,0,19,0.569759335
4/6/2020 1:35,5.3,9,10,2,4,0,0,1,0.664273018
4/6/2020 1:35,3.4,2,3,5,4,10,0,5,0.745608269
4/6/2020 1:35,5.4,6,3,10,7,2,0,6,0.703426031
4/6/2020 1:35,2.3,2,9,10,10,4,0,11,0.779589838
4/6/2020 1:35,3.9,1,10,7,0,3,0,12,0.621487353
4/6/2020 1:35,4.2,2,10,7,0,8,0,18,0.635624097
4/6/2020 1:40,6.4,5,3,6,0,4,0,2,0.619979753
4/6/2020 1:40,0.5,1,4.5,5,6.5,5.5,0,3,0.409295878
4/6/2020 1:40,3.6,1,7,7,0,7,0,10,0.549006523
4/6/2020 1:40,5.6,5.5,9,5,0,6,0.5,15,0.624581846
4/6/2020 1:45,5.9,4.5,2,4,0,5.5,0.5,2,0.619979753
4/6/2020 1:45,0.9,6.5,0,7.5,3.5,5.5,0,3,0.409295878
4/6/2020 1:45,2.6,8,8,10,0,10,0,8,0.565764231
4/6/2020 1:50,3.2,6,3,9,0,0,1,2,0.618538737
4/6/2020 1:50,1.5,9,2.5,6,3.5,9,0,3,0.409295878
4/6/2020 1:50,5.6,9,7,0,5,5,0,5,0.745608269
4/6/2020 1:50,4.2,5,5,8,0,9,0,8,0.565764231
4/6/2020 1:50,7.9,4,1,6,7,10,0,9,0.667377726
4/6/2020 1:50,3.4,8,7,3,0,8,0,19,0.566868653
4/6/2020 1:55,4,4,1,7,0,4,0,2,0.618538737
4/6/2020 1:55,6,6,4.5,0.5,0,10,0,8,0.564200061
4/6/2020 1:55,4.4,5.5,4.5,5.5,4.5,9.5,0,9,0.664976598
4/6/2020 1:55,3.7,7,5.5,4,0,3.5,0,15,0.623204424
4/6/2020 1:55,3.5,10,1,6,0,0,0,18,0.635624097
4/6/2020 2:00,5.3,6,1,0,10,10,0,1,0.664973971
4/6/2020 2:00,5.4,10,2,9,0,1,0,19,0.563190651
4/6/2020 2:05,5.4,1.5,8.5,5.5,0,5,0,2,0.615738359
4/6/2020 2:05,6.1,10,8,8,0,0,0,4,0.706753573
4/6/2020 2:05,5.2,9,10,5,10,1,0,9,0.662902096
4/6/2020 2:05,4.8,7.5,5,9,3,5.5,0,11,0.779589838
4/6/2020 2:05,4.2,1,5,1,0,0,0,14,0.629109531
4/6/2020 2:05,2.9,5.5,6.5,9,0,9,0,15,0.617702906
4/6/2020 2:10,4.7,6,9,5,0,5,0,2,0.615738359
4/6/2020 2:10,0.1,10,0,2,0,6,0,3,0.422829293
4/6/2020 2:10,2.9,3,4,0,2,10,0,6,0.704835202
4/6/2020 2:10,2.2,9,2.5,8,0,9.5,0,8,0.560041399
4/6/2020 2:10,9.3,0,3,9,0,9,0,15,0.616190835
4/6/2020 2:15,1.6,6,9,4.5,7.5,5.5,0,1,0.664973971
4/6/2020 2:15,8.4,9,7,6.5,6.5,3.5,0,6,0.704835202
4/6/2020 2:15,9,7,8,10,0,6,0,8,0.557254181
4/6/2020 2:15,2,8,10,4,0,6,0,10,0.543703663
4/6/2020 2:15,6.9,9,7,10,0,0,0,13,0.597761429
4/6/2020 2:15,4.6,4,0,0,0,10,0,15,0.616190835
4/6/2020 2:15,4,10,10,5,0,0,0,18,0.635624097
4/6/2020 2:20,5.1,3,0,10,10,6,0,1,0.664973971
4/6/2020 2:20,6.6,2,4,4,0,2,0,2,0.615738359
4/6/2020 2:20,0,3.5,3.5,3.5,6.5,1.5,0,3,0.422829293
4/6/2020 2:20,2.4,7.5,7.5,7.5,3,10,0,6,0.702053761
4/6/2020 2:20,3.8,10,10,0,2,10,0,9,0.662750888
4/6/2020 2:20,2.3,6,10,10,0,1,0,12,0.628164627
4/6/2020 2:25,5.5,4,9,3.5,7.5,7,0,1,0.664973971
4/6/2020 2:25,0.6,4,10,10,5,3,0,3,0.422829293
4/6/2020 2:25,2.9,10,10,8,0,10,0,4,0.706753573
4/6/2020 2:25,3.2,5,0,10,0,7,0,10,0.542393023
4/6/2020 2:25,3.5,10,7,7,9,9,1,11,0.775552471
4/6/2020 2:25,4.3,8,10,10,0,2,0,14,0.623966273
4/6/2020 2:25,4.5,9,6,9,0,0,0,19,0.558856479
4/6/2020 2:30,3.7,5,0,4,4,10,0,1,0.664973971
4/6/2020 2:30,0,7,0,4,8,3,0,3,0.422829293
4/6/2020 2:30,4.9,3,1,5,0,8,0,8,0.559559508
4/6/2020 2:30,5.2,10,1,4,3,8,0,9,0.660453504
4/6/2020 2:30,5.7,7,10,7,0,10,1,12,0.628164627
4/6/2020 2:30,3.5,5,6,2,0,10,0,19,0.558856479
4/6/2020 2:35,3.5,5,8,2,0,10,0,4,0.702443129
4/6/2020 2:35,3,1,4,2.5,3.5,8.5,0,6,0.700205769
4/6/2020 2:35,4.3,2.5,8.5,3,0,4,0,8,0.559559508
4/6/2020 2:35,5.6,5,8,7,7.5,4.5,0,9,0.660453504
4/6/2020 2:35,3.6,0,1,2,0,3,0,15,0.611149879
4/6/2020 2:35,6,8,10,6,0,1,0,19,0.558856479
4/6/2020 2:40,4.1,0,3,10,0,1,0,2,0.61763532
4/6/2020 2:40,1.3,10,3,4,10,8,0,3,0.419710486
4/6/2020 2:40,1.7,8,5,2,10,7,1,6,0.700205769
4/6/2020 2:40,6.8,5,3,6,0,10,0,8,0.559559508
4/6/2020 2:40,9.2,10,10,5,1,8,0,9,0.660453504
4/6/2020 2:40,4.2,5,5,10,0,4,0,14,0.629828004
4/6/2020 2:40,5.3,10,10,10,0,9,0,16,0.712759897
4/6/2020 2:45,4.2,9.5,5,9,1,5.5,0,2,0.61763532
4/6/2020 2:45,3.9,7,10,0,0,10,0,6,0.698918529
4/6/2020 2:45,3.3,6,5,6,10,10,0,11,0.769613203
4/6/2020 2:45,1.5,0,0,8,0,7,0,15,0.611617473
4/6/2020 2:45,3.6,7,4,2,0,8,0,19,0.54918042
4/6/2020 2:50,4.4,7,7,5,10,8,0,5,0.742927086
4/6/2020 2:50,5.6,6,6,5,5.5,7,0,6,0.698918529
4/6/2020 2:50,5.8,6,10,10,0,5,1,8,0.558170713
4/6/2020 2:50,3.8,4,7,9.5,6.5,7,0,9,0.655999309
4/6/2020 2:50,5.5,0,1,0,0,7,0,10,0.542393023
4/6/2020 2:50,1.3,0,1,8,0,3,0,11,0.769613203
4/6/2020 2:50,7.1,6,4,6,0,8,0,15,0.611053146
4/6/2020 2:55,3,10,10,10,0,5,0,2,0.61763532
4/6/2020 2:55,5.5,6,3,9,1,10,0,6,0.697865966
4/6/2020 2:55,6.5,7,7,3.5,1.5,6,0,9,0.655999309
4/6/2020 2:55,2.8,10,3,1,5,4,0,11,0.772315146
4/6/2020 2:55,2.9,3,8,7,0,0,0,12,0.620413272
4/6/2020 2:55,5.6,1,1,8,0,4,0,15,0.611053146
4/6/2020 2:55,2.8,10,0,3,10,10,0,16,0.711250568
4/6/2020 3:00,6.9,10,2,0,10,10,0,1,0.65521685
4/6/2020 3:00,4.3,2,2,9,0,4,0,2,0.616852886
4/6/2020 3:00,1,4,10,3,2,2,0,3,0.415176397
4/6/2020 3:00,3.1,4,2,2,7,1,0,5,0.741746708
4/6/2020 3:00,4.4,9,3,2,4,2,0,6,0.698952561
4/6/2020 3:00,6,0,7,5,0,0,0,8,0.554740873
4/6/2020 3:00,2.9,3,1,8,3,3,0,11,0.772315146
4/6/2020 3:00,1.5,3,9,5,0,1,0,12,0.620413272
4/6/2020 3:00,7,8,8,1,0,5,0,14,0.628956487
4/6/2020 3:00,5.8,7,6,7,0,4,1,15,0.611053146
4/6/2020 3:00,3.8,2,10,10,0,7,0,19,0.545952803
4/6/2020 3:05,2.9,4,9,8,8,7,0,1,0.65521685
4/6/2020 3:05,6.2,10,2,1,0,4,0,2,0.616852886
4/6/2020 3:05,0.8,5,8,2.5,9,4,0.5,3,0.415176397
4/6/2020 3:05,5.2,6.5,9.5,8,7,9.5,0,6,0.698558578
4/6/2020 3:05,3.4,0,9,4,0,3,0,8,0.554740873
4/6/2020 3:05,0.7,0,9,8,6,10,0,9,0.655999309
4/6/2020 3:10,3.3,10,4,5,0,10,0,2,0.616704045
4/6/2020 3:10,5.2,7.5,2,4,7.5,3.5,0,6,0.698558578
4/6/2020 3:10,3.6,10,3,6,0,2,0,14,0.623789995
4/6/2020 3:10,5.4,4,4,0,0,6,0,15,0.611894745
4/6/2020 3:10,3.2,0,6,10,0,1,0,18,0.633264284
4/6/2020 3:15,5,6,7,7,0,9,0,2,0.613826122
4/6/2020 3:15,6.4,5,9,10,2,10,0,6,0.697098571
4/6/2020 3:15,4.6,7.5,2.5,7.5,0,6,0,8,0.555838451
4/6/2020 3:15,4.7,10,10,10,2,6,0,9,0.655999309
4/6/2020 3:15,3,3,6,0,0,7,0,15,0.611894745
4/6/2020 3:15,6.1,7,5,7,0,10,0,18,0.633264284
4/6/2020 3:20,4.8,4,9,8,0,7,0,2,0.613826122
4/6/2020 3:20,6.3,7,0,0,10,9,0,6,0.695631986
4/6/2020 3:20,5.8,7,10,2,0,5,0,8,0.555937677
4/6/2020 3:20,6.6,0,8,10,0,10,0,10,0.545121439
4/6/2020 3:20,1.4,1,5,5,0,4,0,15,0.61108579
4/6/2020 3:25,4.4,4,0,1,0,3,0,2,0.614412795
4/6/2020 3:25,2.3,10,1,2,10,4,0,5,0.739142839
4/6/2020 3:25,3.4,8.5,5.5,6.5,5,5.5,0.5,6,0.695631986
4/6/2020 3:30,5.2,3,1,7,0,9,0,2,0.614412795
4/6/2020 3:30,4.7,4,8,6,2,2,0,6,0.695631986
4/6/2020 3:35,3.8,10,0,3,0,9,0,2,0.614412795
4/6/2020 3:35,0.2,5.5,1,5,5,10,0,3,0.413881725
4/6/2020 3:35,3.8,6.5,4.5,3.5,9,9,0,9,0.654475783
4/6/2020 3:35,2.6,4,5,10,0,7,0,12,0.626183095
4/6/2020 3:35,4.5,7,6,1,0,8,1,15,0.60881887
4/6/2020 3:35,4.6,10,8,1,10,9,0,16,0.707787414
4/6/2020 3:40,4.3,4,3,6,0,8,1,2,0.61359292
4/6/2020 3:40,3.8,8,8,2,8,10,0,5,0.741611818
4/6/2020 3:40,3,10,8,1,5,10,0,6,0.692581084
4/6/2020 3:40,4.8,5,2,8.5,0,4.5,0.5,8,0.555983877
4/6/2020 3:40,5.5,1,10,5,9,7,0,9,0.654640307
4/6/2020 3:40,3.8,4,2,2,3,2,1,16,0.705051766
4/6/2020 3:40,3.6,0,4,1,0,1,0,19,0.545101254
4/6/2020 3:45,2.8,2,7,0,2,1,0,3,0.413881725
4/6/2020 3:45,3,3,1,1,0,2,0,4,0.690605085
4/6/2020 3:45,2.8,4,4.5,2.5,1.5,5,0.5,5,0.741611818
4/6/2020 3:45,5,1,3,0,0,2,0,8,0.552653957
4/6/2020 3:45,6.7,10,0,0,4,7,0,9,0.654394753
4/6/2020 3:45,2.2,3.5,0,4.5,0,7,0,15,0.60811954
4/6/2020 3:50,4.5,2,0,10,3,4,0,1,0.652480498
4/6/2020 3:50,5.9,9,0,8,0,9,0,2,0.611382874
4/6/2020 3:50,3.5,6,4,4,5,8,0,6,0.693207004
4/6/2020 3:50,6.4,1,10,4,0,5,0,8,0.552653957
4/6/2020 3:50,3.9,10,0,10,0,1,0,14,0.619410048
4/6/2020 3:50,5,8,6,9,0,8,0,18,0.623846429
4/6/2020 3:55,2.8,10,0,7,3,0,0,6,0.693207004
4/6/2020 3:55,3.2,5.5,2,6,0,8.5,0,8,0.552653957
4/6/2020 3:55,2.2,7,4,8,0,1,0,15,0.60811954
4/6/2020 4:00,3.7,9,10,0,0,10,0,2,0.608382615
4/6/2020 4:00,7.1,3.5,4.5,6,6.5,8,0,6,0.693207004
4/6/2020 4:00,8.4,3,5,4.5,0,4.5,0,8,0.553341705
4/6/2020 4:00,4,5,8,7,5,7,0,11,0.759054298
4/6/2020 4:00,5.4,5,10,8,0,6,0,19,0.545101254
4/6/2020 4:05,6.3,4,2,10,0,8,0,2,0.607487078
4/6/2020 4:05,0.3,10,9,0,6,10,0,3,0.406542716
4/6/2020 4:05,2.6,10,5,5,8,9,0,6,0.692713594
4/6/2020 4:05,4.5,4,6.5,6,0,4.5,0,8,0.553341705
4/6/2020 4:05,3.9,4,5,3,6,3,0,9,0.652348329
4/6/2020 4:05,8.8,8,4,9,0,10,0,14,0.616923868
4/6/2020 4:05,3.4,3,5,10,0,2,0,15,0.606136554
4/6/2020 4:05,5.8,3,10,7,0,9,0,18,0.6267469
4/6/2020 4:10,3.1,3.5,7,4,0,3,0,8,0.553341705
4/6/2020 4:10,5.5,10,10,0,0,8,0,9,0.652954585
4/6/2020 4:10,3,10,6,2,0,2,0,15,0.606136554
4/6/2020 4:10,6.2,4,5,7,3,8,0,16,0.705051766
4/6/2020 4:10,4.2,2,6,10,0,3,0,17,0.582051302
4/6/2020 4:15,3.7,3,8,3,3,6,0,1,0.652480498
4/6/2020 4:15,6.8,4,3.5,9,0,9,0,2,0.60393264
4/6/2020 4:15,3,4,1,9,0,9,0,4,0.684907641
4/6/2020 4:15,4.4,5,3,8,3,7,0,5,0.737947422
4/6/2020 4:15,6.8,10,9,10,8,6,0,6,0.690761649
4/6/2020 4:15,4.9,8.5,4.5,6.5,0,3,0,8,0.553341705
4/6/2020 4:15,6.9,10,7,3,10,4,0,9,0.652954585
4/6/2020 4:15,3.9,7,1,10,0,1,0,14,0.616923868
4/6/2020 4:20,5.5,4.5,3.5,9,7,9,0,6,0.691383309
4/6/2020 4:20,5.7,10,9,8,10,1,0,9,0.653039844
4/6/2020 4:20,1.6,0,5,3,0,2,0,15,0.606833074
4/6/2020 4:20,4.6,0,0,5,0,7,0,19,0.549430236
4/6/2020 4:25,3.3,10,5,6,0,1,0,2,0.60393264
4/6/2020 4:25,3,5,4,10,0,3,0,4,0.680557013
4/6/2020 4:25,1,5.5,8,7,6.5,4,0,6,0.689912662
4/6/2020 4:25,3.7,7,10,10,0,2,0,8,0.551852957
4/6/2020 4:25,5.2,3,8,5,0,10,0,14,0.615230017
4/6/2020 4:25,3.1,9,10,6,0,6,0,15,0.606833074
4/6/2020 4:30,7.3,1,5,10,5,2,0,6,0.688478798
4/6/2020 4:30,4.5,6.5,4.5,9,0,3.5,0,8,0.550985179
4/6/2020 4:30,4.6,8,6,7,2.5,5.5,0,9,0.648460828
4/6/2020 4:30,5.6,9,4,3,0,10,1,10,0.521868025
4/6/2020 4:30,3.4,7,10,4,0,5,0,14,0.613847043
4/6/2020 4:30,2.9,10,10,9,0,8,1,15,0.605054651
4/6/2020 4:35,5.3,10,3,3,0,10,1,2,0.6025451
4/6/2020 4:35,7.4,8,0,8,0,9,0,8,0.550985179
4/6/2020 4:35,3.8,10,1,10,0,2,0,14,0.613847043
4/6/2020 4:35,4.6,7,8,5,0,8,0,15,0.602310888
4/6/2020 4:40,6.8,10,3,7,8,2,0,1,0.651901661
4/6/2020 4:40,4.6,5,7,10,0,1,0,2,0.602376624
4/6/2020 4:40,3.2,1,0,0,0,6,0,15,0.602310888
4/6/2020 4:40,4.8,2,4,4,0,5,0,19,0.548572847
4/6/2020 4:45,5.5,3,10,10,3,6,0,5,0.737947422
4/6/2020 4:45,3.7,7,6,4,10,0,0,6,0.687076828
4/6/2020 4:45,4,10,9,5,0,5,1,8,0.550438799
4/6/2020 4:45,1.4,10,1,10,0,3,0,15,0.602310888
4/6/2020 4:50,2.4,8,10,10,4,2,0,5,0.737947422
4/6/2020 4:50,4.1,3,7,7,0,10,0,14,0.613847043
4/6/2020 4:50,6.6,3,7,3,0,4,0,15,0.600349012
4/6/2020 4:50,3,1,3,0,0,8,0,18,0.621816749
4/6/2020 4:55,4,8,8,0,0,8,0,8,0.550438799
4/6/2020 4:55,6.1,7.5,5,3.5,8.5,5.5,0,9,0.645914652
4/6/2020 4:55,4.7,6,7,6,0,7,0,14,0.611889435
4/6/2020 5:00,8.9,0,5.5,5,0,5.5,0,2,0.602376624
4/6/2020 5:00,5.6,3,2,1,0,3,0,15,0.600551106
4/6/2020 5:00,3.3,1,4,4,0,5,0,19,0.545438904
4/6/2020 5:05,3.7,8,7.5,4,0,4,0.5,2,0.602376624
4/6/2020 5:05,3,0,8,0,7,10,0,5,0.736021886
4/6/2020 5:05,2.6,2,10,8,6,10,1,6,0.684962651
4/6/2020 5:05,5.6,8,5,2,0,5,0,15,0.600551106
4/6/2020 5:10,4.1,10,4,4,0,9,0,2,0.602376624
4/6/2020 5:10,5.4,6.5,3.5,8,3,6,0,6,0.683681037
4/6/2020 5:10,4,7,9,10,0,3,0,12,0.616933211
4/6/2020 5:10,5.4,5,9,8,0,10,0,15,0.600551106
4/6/2020 5:10,2.6,9,6,4,4,5,0,16,0.712719435
4/6/2020 5:15,5.6,0,3,10,0,8,0,2,0.598336252
4/6/2020 5:15,7,6,5,5,0,4,0,4,0.668516073
4/6/2020 5:15,4.3,3,10,10,10,8,1,5,0.736021886
4/6/2020 5:15,2.9,4,0,0,0,0,1,8,0.551467684
4/6/2020 5:15,3.1,2,8,1,0,10,0,10,0.52243844
4/6/2020 5:15,3,10,5,7,0,10,0,15,0.598885031
4/6/2020 5:15,2.3,8,10,6,4,8,1,16,0.712719435
4/6/2020 5:15,6,10,8,2,0,0,0,18,0.622512104
4/6/2020 5:20,4.8,10,10,0,7,5,0,1,0.64580482
4/6/2020 5:20,5.4,10,3,3,0,2,0,2,0.598336252
4/6/2020 5:20,0.5,3.5,8.5,6.5,4,7.5,0,3,0.390481752
4/6/2020 5:20,4.6,6,2.5,8,2.5,7.5,0,6,0.683137377
4/6/2020 5:20,7,6,3,2,0,3,0,8,0.551467684
4/6/2020 5:20,3.5,10,6,4,0,7,0,12,0.616933211
4/6/2020 5:20,8.2,1,4,0,0,6,0,14,0.611889435
4/6/2020 5:20,3.4,10,8,10,0,3,0,15,0.598885031
4/6/2020 5:20,2.8,5,8,9,0,10,0,18,0.62012541
4/6/2020 5:25,1.1,5,9,7,0,1,0,4,0.669045523
4/6/2020 5:25,4.8,7,8,0.5,3,4,0,9,0.644379155
4/6/2020 5:25,4.3,10,0,10,2,5,0,11,0.761411942
4/6/2020 5:25,4.5,8,8,0,0,10,0,15,0.598375625
4/6/2020 5:25,6,10,6,0,0,7,0,18,0.62012541
4/6/2020 5:30,2.3,3,9,5,0,9,0,2,0.595510672
4/6/2020 5:30,0,0,3,10,9,3,0,3,0.384753289
4/6/2020 5:30,4.9,0,10,10,5,2,0,5,0.730277476
4/6/2020 5:30,4.6,2,5,9,8,3,0,6,0.681802788
4/6/2020 5:30,2.2,10,4,1,0,4,0,15,0.598375625
4/6/2020 5:30,7.5,5,10,8,0,9,0,18,0.616906758
4/6/2020 5:35,1.4,2,6,2,4,3,1,3,0.384753289
4/6/2020 5:35,5.7,7.5,0.5,6.5,5,8.5,0.5,6,0.681802788
4/6/2020 5:35,2,1,6,9,0,6,0,8,0.55337213
4/6/2020 5:35,3.8,2,3,3,0,7,0,9,0.645335653
4/6/2020 5:35,2.2,10,8,9,0,1,0,15,0.598939679
4/6/2020 5:35,4.5,4,4,6,0,10,0,19,0.546275551
4/6/2020 5:40,0.8,7,10,5,6,4,0,3,0.381658107
4/6/2020 5:40,4.6,9,10,5,8,9,0,5,0.728762117
4/6/2020 5:40,2.5,3,0,0,7,8,0,6,0.681819413
4/6/2020 5:40,2.8,9,7,10,10,9,0,9,0.645335653
4/6/2020 5:40,3.4,5,6,5,0,6,0,15,0.598939679
4/6/2020 5:40,4.5,3.5,5.5,10,7,5.5,0,16,0.707667091
4/6/2020 5:40,5.5,0,5,2,0,10,0,17,0.578711997
4/6/2020 5:45,0.7,5.5,7,5,8,8,0,3,0.380358559
4/6/2020 5:45,3.6,9,6,3,1,8,0,5,0.728762117
4/6/2020 5:45,5.9,10,5,10,10,3,0,6,0.681819413
4/6/2020 5:45,4.6,0,3,1,0,0,0,7,0
4/6/2020 5:45,5.4,10,4,8,0,1,1,8,0.545653899
4/6/2020 5:45,4.8,7,8,7,2,10,0,9,0.643160845
4/6/2020 5:45,5.9,4,8,8,0,7,0,14,0.608267729
